
style-guide.css
  749:1   ✖  Expected selector "section > h2::before" to come before selector "section:nth-of-type(10) h2::before"                                               no-descending-specificity                        
  749:1   ✖  Unexpected duplicate selector "section > h2::before", first used at line 156                                                                        no-duplicate-selectors                           
  753:1   ✖  Unexpected duplicate selector "p", first used at line 160                                                                                           no-duplicate-selectors                           
  758:3   ✖  Expected selector "p a" to come before selector ".cd-main-nav li a"                                                                                 no-descending-specificity                        
  758:3   ✖  Expected selector "p a" to come before selector ".cd-main-nav li:first-of-type a"                                                                   no-descending-specificity                        
  758:3   ✖  Unexpected duplicate selector "p a", first used at line 165                                                                                         no-duplicate-selectors                           
  772:1   ✖  Expected selector ".cd-box" to come before selector ".cd-branding .cd-box"                                                                          no-descending-specificity                        
  772:1   ✖  Expected selector ".cd-box" to come before selector ".cd-typography .cd-box"                                                                        no-descending-specificity                        
  772:1   ✖  Expected selector ".cd-box" to come before selector ".cd-buttons .cd-box"                                                                           no-descending-specificity                        
  772:1   ✖  Expected selector ".cd-box" to come before selector ".cd-icons .cd-box"                                                                             no-descending-specificity                        
  772:1   ✖  Expected selector ".cd-box" to come before selector ".cd-form .cd-box"                                                                              no-descending-specificity                        
  772:1   ✖  Expected selector ".cd-box" to come before selector ".cd-buttons .cd-box:first-of-type"                                                             no-descending-specificity                        
  772:1   ✖  Expected selector ".cd-box" to come before selector ".cd-buttons .cd-box:last-of-type"                                                              no-descending-specificity                        
  785:1   ✖  Unexpected duplicate selector "header", first used at line 210                                                                                      no-duplicate-selectors                           
  788:1   ✖  Unexpected duplicate selector ".cd-logo", first used at line 228                                                                                    no-duplicate-selectors                           
  796:1   ✖  Expected selector ".cd-main-nav" to come before selector ".nav-is-visible .cd-main-nav"                                                             no-descending-specificity                        
  796:1   ✖  Unexpected duplicate selector ".cd-main-nav", first used at line 300                                                                                no-duplicate-selectors                           
  799:3   ✖  Expected selector ".cd-main-nav li a" to come before selector ".cd-main-nav li:first-of-type a"                                                     no-descending-specificity                        
  799:3   ✖  Unexpected duplicate selector ".cd-main-nav li a", first used at line 316                                                                           no-duplicate-selectors                           
  811:1   ✖  Expected selector ".cd-nav-trigger span" to come before selector ".no-touch .cd-download:hover span"                                                no-descending-specificity                        
  811:1   ✖  Unexpected duplicate selector ".cd-nav-trigger span", first used at line 256                                                                        no-duplicate-selectors                           
  814:3   ✖  Expected selector ".cd-nav-trigger span::before" to come before selector ".nav-is-visible .cd-nav-trigger span::before"                             no-descending-specificity                        
  814:3   ✖  Unexpected duplicate selector ".cd-nav-trigger span::before, .cd-nav-trigger span::after", first used at line 267                                   no-duplicate-selectors                           
  814:33  ✖  Expected selector ".cd-nav-trigger span::after" to come before selector ".nav-is-visible .cd-nav-trigger span::after"                               no-descending-specificity                        
  818:1   ✖  Expected selector ".nav-is-visible .cd-nav-trigger span" to come before selector ".no-touch .cd-download:hover span"                                no-descending-specificity                        
  825:1   ✖  Unexpected duplicate selector ".cd-download", first used at line 375                                                                                no-duplicate-selectors                           
  830:3   ✖  Expected selector ".cd-download span" to come before selector ".no-touch .cd-download:hover span"                                                   no-descending-specificity                        
  830:3   ✖  Expected selector ".cd-download span" to come before selector ".nav-is-visible .cd-nav-trigger span"                                                no-descending-specificity                        
  830:3   ✖  Unexpected duplicate selector ".cd-download span", first used at line 388                                                                           no-duplicate-selectors                           
  834:5   ✖  Expected selector ".cd-download span::before" to come before selector ".nav-is-visible .cd-nav-trigger span::before"                                no-descending-specificity                        
  834:5   ✖  Expected selector ".cd-download span::before" to come before selector ".nav-is-visible .cd-nav-trigger span::before"                                no-descending-specificity                        
  834:5   ✖  Unexpected duplicate selector ".cd-download span::before", first used at line 403                                                                   no-duplicate-selectors                           
  843:1   ✖  Unexpected duplicate selector "main > h1", first used at line 437                                                                                   no-duplicate-selectors                           
  919:1   ✖  Expected selector ".cd-icons li" to come before selector ".cd-branding ul:last-of-type li"                                                          no-descending-specificity                        
  919:1   ✖  Expected selector ".cd-icons li" to come before selector ".cd-colors li:nth-of-type(2n)"                                                            no-descending-specificity                        
  919:1   ✖  Unexpected duplicate selector ".cd-icons li", first used at line 631                                                                                no-duplicate-selectors                           
  929:1   ✖  Expected selector ".cd-primary-nav ul li a" to come before selector ".cd-main-nav li:first-of-type a"                                               no-descending-specificity                        
  940:1   ✖  Expected selector ".cd-secondary-nav ul li a" to come before selector ".cd-main-nav li:first-of-type a"                                             no-descending-specificity                        
  940:1   ✖  Expected selector ".cd-secondary-nav ul li a" to come before selector ".cd-primary-nav ul li a:visited"                                             no-descending-specificity                        
  940:1   ✖  Expected selector ".cd-secondary-nav ul li a" to come before selector ".cd-primary-nav ul li a:hover"                                               no-descending-specificity                        
  940:1   ✖  Expected selector ".cd-secondary-nav ul li a" to come before selector ".cd-primary-nav ul li a:active"                                              no-descending-specificity                        
  966:1   ✖  Expected selector "input[type='text']" to come before selector "input[type='text']:focus"                                                           no-descending-specificity                        
 1038:1   ✖  Expected selector ".cd-select::after" to come before selector ".no-csstransitions .cd-select::after"                                                no-descending-specificity                        
 1056:1   ✖  Expected selector "select" to come before selector "select:focus"                                                                                   no-descending-specificity                        
 1066:1   ✖  Unexpected duplicate selector "body", first used at line 112                                                                                        no-duplicate-selectors                           
 1069:1   ✖  Unexpected duplicate selector ".cd-colors", first used at line 137                                                                                  no-duplicate-selectors                           
 1072:1   ✖  Expected selector "h1" to come before selector "main > h1"                                                                                          no-descending-specificity                        
 1072:1   ✖  Expected selector "h1" to come before selector "main > h1"                                                                                          no-descending-specificity                        
 1072:1   ✖  Unexpected duplicate selector "h1, h2", first used at line 140                                                                                      no-duplicate-selectors                           
 1077:1   ✖  Expected selector "h1" to come before selector "main > h1"                                                                                          no-descending-specificity                        
 1077:1   ✖  Expected selector "h1" to come before selector "main > h1"                                                                                          no-descending-specificity                        
 1077:1   ✖  Unexpected duplicate selector "h1", first used at line 145                                                                                          no-duplicate-selectors                           
 1083:1   ✖  Unexpected duplicate selector "h2", first used at line 151                                                                                          no-duplicate-selectors                           
 1088:1   ✖  Expected selector "section > h2::before" to come before selector "section:nth-of-type(1) h2::before"                                                no-descending-specificity                        
 1088:1   ✖  Expected selector "section > h2::before" to come before selector "section:nth-of-type(2) h2::before"                                                no-descending-specificity                        
 1088:1   ✖  Expected selector "section > h2::before" to come before selector "section:nth-of-type(3) h2::before"                                                no-descending-specificity                        
 1088:1   ✖  Expected selector "section > h2::before" to come before selector "section:nth-of-type(4) h2::before"                                                no-descending-specificity                        
 1088:1   ✖  Expected selector "section > h2::before" to come before selector "section:nth-of-type(5) h2::before"                                                no-descending-specificity                        
 1088:1   ✖  Expected selector "section > h2::before" to come before selector "section:nth-of-type(6) h2::before"                                                no-descending-specificity                        
 1088:1   ✖  Expected selector "section > h2::before" to come before selector "section:nth-of-type(7) h2::before"                                                no-descending-specificity                        
 1088:1   ✖  Expected selector "section > h2::before" to come before selector "section:nth-of-type(8) h2::before"                                                no-descending-specificity                        
 1088:1   ✖  Expected selector "section > h2::before" to come before selector "section:nth-of-type(9) h2::before"                                                no-descending-specificity                        
 1088:1   ✖  Expected selector "section > h2::before" to come before selector "section:nth-of-type(10) h2::before"                                               no-descending-specificity                        
 1088:1   ✖  Unexpected duplicate selector "section > h2::before", first used at line 156                                                                        no-duplicate-selectors                           
 1092:1   ✖  Unexpected duplicate selector "p", first used at line 160                                                                                           no-duplicate-selectors                           
 1097:3   ✖  Expected selector "p a" to come before selector ".cd-main-nav li a"                                                                                 no-descending-specificity                        
 1097:3   ✖  Expected selector "p a" to come before selector ".cd-main-nav li:first-of-type a"                                                                   no-descending-specificity                        
 1097:3   ✖  Expected selector "p a" to come before selector ".cd-main-nav li a"                                                                                 no-descending-specificity                        
 1097:3   ✖  Expected selector "p a" to come before selector ".cd-primary-nav ul li a"                                                                           no-descending-specificity                        
 1097:3   ✖  Expected selector "p a" to come before selector ".cd-primary-nav ul li a:visited"                                                                   no-descending-specificity                        
 1097:3   ✖  Expected selector "p a" to come before selector ".cd-primary-nav ul li a:hover"                                                                     no-descending-specificity                        
 1097:3   ✖  Expected selector "p a" to come before selector ".cd-primary-nav ul li a:active"                                                                    no-descending-specificity                        
 1097:3   ✖  Expected selector "p a" to come before selector ".cd-secondary-nav ul li a"                                                                         no-descending-specificity                        
 1097:3   ✖  Expected selector "p a" to come before selector ".cd-secondary-nav ul li a:visited"                                                                 no-descending-specificity                        
 1097:3   ✖  Expected selector "p a" to come before selector ".cd-secondary-nav ul li a:hover"                                                                   no-descending-specificity                        
 1097:3   ✖  Expected selector "p a" to come before selector ".cd-secondary-nav ul li a:active"                                                                  no-descending-specificity                        
 1097:3   ✖  Unexpected duplicate selector "p a", first used at line 165                                                                                         no-duplicate-selectors                           
 1101:1   ✖  Unexpected duplicate selector "body", first used at line 112                                                                                        no-duplicate-selectors                           
 1104:1   ✖  Unexpected duplicate selector ".cd-colors", first used at line 137                                                                                  no-duplicate-selectors                           
 1112:1   ✖  Expected selector "*" to come before selector "html *"                                                                                              no-descending-specificity                        
 1112:1   ✖  Unexpected duplicate selector "*, *::after, *::before", first used at line 180                                                                      no-duplicate-selectors                           
